expenses,2019-06-01,19.00
expenses,2019-06-02,20.00
expenses,2019-06-03,30.59
expenses,2019-06-04,15.01
expenses,2019-06-05,35.96
expenses,2019-06-06,41.28
expenses,2019-06-07,43.06
expenses,2019-06-08,44.54
expenses,2019-06-09,29.39
expenses,2019-06-10,18.49
expenses,2019-06-11,45.48
expenses,2019-06-12,16.90
expenses,2019-06-13,15.78
expenses,2019-06-14,44.06
expenses,2019-06-15,24.22
expenses,2019-06-16,19.98
expenses,2019-06-17,48.99
expenses,2019-06-18,24.63
expenses,2019-06-19,38.49
expenses,2019-06-20,26.10
expenses,2019-06-21,48.43
expenses,2019-06-22,19.75
expenses,2019-06-23,48.98
expenses,2019-06-24,29.31
expenses,2019-06-25,47.39
expenses,2019-06-26,23.52
expenses,2019-06-27,24.03
expenses,2019-06-28,25.93
expenses,2019-06-29,31.57
expenses,2019-06-30,47.38
