expenses,2018-06-01,17.41
expenses,2018-06-02,29.15
expenses,2018-06-03,39.68
expenses,2018-06-04,21.46
expenses,2018-06-05,25.55
expenses,2018-06-06,29.05
expenses,2018-06-07,22.41
expenses,2018-06-08,25.82
expenses,2018-06-09,32.52
expenses,2018-06-10,44.02
expenses,2018-06-11,46.45
expenses,2018-06-12,49.06
expenses,2018-06-13,34.28
expenses,2018-06-14,47.13
expenses,2018-06-15,16.76
expenses,2018-06-16,39.37
expenses,2018-06-17,44.74
expenses,2018-06-18,39.22
expenses,2018-06-19,40.21
expenses,2018-06-20,18.68
expenses,2018-06-21,22.00
expenses,2018-06-22,39.77
expenses,2018-06-23,26.35
expenses,2018-06-24,26.35
expenses,2018-06-25,49.53
expenses,2018-06-26,23.73
expenses,2018-06-27,46.45
expenses,2018-06-28,35.90
expenses,2018-06-29,36.28
expenses,2018-06-30,33.79
