expenses,2018-03-01,15.37
expenses,2018-03-02,27.45
expenses,2018-03-03,39.47
expenses,2018-03-04,33.57
expenses,2018-03-05,31.38
expenses,2018-03-06,32.36
expenses,2018-03-07,24.92
expenses,2018-03-08,47.92
expenses,2018-03-09,35.52
expenses,2018-03-10,18.44
expenses,2018-03-11,43.92
expenses,2018-03-12,45.80
expenses,2018-03-13,26.41
expenses,2018-03-14,20.92
expenses,2018-03-15,30.49
expenses,2018-03-16,20.65
expenses,2018-03-17,38.03
expenses,2018-03-18,38.52
expenses,2018-03-19,21.35
expenses,2018-03-20,43.79
expenses,2018-03-21,17.92
expenses,2018-03-22,25.90
expenses,2018-03-23,18.30
expenses,2018-03-24,22.75
expenses,2018-03-25,30.56
expenses,2018-03-26,33.58
expenses,2018-03-27,33.44
expenses,2018-03-28,37.41
expenses,2018-03-29,43.95
expenses,2018-03-30,19.69
expenses,2018-03-31,44.94
