expenses,2019-01-01,15.96
expenses,2019-01-02,49.19
expenses,2019-01-03,15.37
expenses,2019-01-04,23.67
expenses,2019-01-05,24.33
expenses,2019-01-06,27.30
expenses,2019-01-07,38.19
expenses,2019-01-08,21.18
expenses,2019-01-09,15.17
expenses,2019-01-10,32.22
expenses,2019-01-11,38.55
expenses,2019-01-12,48.66
expenses,2019-01-13,36.86
expenses,2019-01-14,42.20
expenses,2019-01-15,28.80
expenses,2019-01-16,18.26
expenses,2019-01-17,40.32
expenses,2019-01-18,33.78
expenses,2019-01-19,18.82
expenses,2019-01-20,26.03
expenses,2019-01-21,19.49
expenses,2019-01-22,41.22
expenses,2019-01-23,16.43
expenses,2019-01-24,36.55
expenses,2019-01-25,28.57
expenses,2019-01-26,49.64
expenses,2019-01-27,18.24
expenses,2019-01-28,49.81
expenses,2019-01-29,47.64
expenses,2019-01-30,36.35
expenses,2019-01-31,44.28
