expenses,2019-02-01,38.71
expenses,2019-02-02,45.86
expenses,2019-02-03,22.93
expenses,2019-02-04,26.35
expenses,2019-02-05,36.39
expenses,2019-02-06,34.26
expenses,2019-02-07,37.75
expenses,2019-02-08,28.43
expenses,2019-02-09,22.81
expenses,2019-02-10,28.09
expenses,2019-02-11,36.93
expenses,2019-02-12,16.87
expenses,2019-02-13,18.05
expenses,2019-02-14,26.14
expenses,2019-02-15,26.85
expenses,2019-02-16,42.69
expenses,2019-02-17,24.50
expenses,2019-02-18,49.42
expenses,2019-02-19,32.99
expenses,2019-02-20,40.39
expenses,2019-02-21,27.78
expenses,2019-02-22,37.47
expenses,2019-02-23,25.39
expenses,2019-02-24,19.06
expenses,2019-02-25,47.21
expenses,2019-02-26,17.96
expenses,2019-02-27,47.42
expenses,2019-02-28,23.80
